Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729785012292,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,74,72,72,71,69,70,68,100,0,66.66667175292969,0,50,0,0,0,66.66667175292969,0,50,0,50,0,0,0,54.80424118041992,68719476736,1073741824,29080846336,49020928
207,1729785012293,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,74,72,72,71,69,70,68,66.66667175292969,0,0,0,NaN,0,0,0,NaN,0,50,0,NaN,0,NaN,0,54.80424118041992,68719476736,1073741824,29080846336,49020928
203,1729785012501,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,77,75,82,72,71,72,71,60.000003814697266,0,25,0,19.047618865966797,0,23.809524536132813,0,50,0,50,0,47.619049072265625,0,40.90909194946289,0,54.202518463134766,68719476736,1073741824,29080846336,49020928
204,1729785012704,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,77,75,82,72,71,72,71,50,0,30.000001907348633,0,33.333335876464844,0,10,0,61.904762268066406,0,50,0,47.619049072265625,0,30.000001907348633,0,54.202518463134766,68719476736,1073741824,29080846336,49020928
206,1729785012909,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,77,75,82,72,71,72,71,50,0,35,0,20,0,19.047618865966797,0,50,4.545454502105713,45,0,35,0,31.57894515991211,0,54.202518463134766,68719476736,1073741824,29080846336,49020928
204,1729785013116,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,77,75,82,72,71,72,71,57.142860412597656,0,36.3636360168457,0,25,0,25,0,52.38095474243164,4.761904716491699,52.38095474243164,4.545454502105713,45,0,45.45454788208008,4.545454502105713,54.202518463134766,68719476736,1073741824,29100474368,49020928
208,1729785013321,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,79,76,76,74,74,73,74,52.6315803527832,0,40,0,23.809524536132813,4.545454502105713,35,0,55,0,47.619049072265625,0,47.619049072265625,4.761904716491699,35,0,54.202518463134766,68719476736,1073741824,29102796800,49020928
208,1729785013530,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,79,76,76,74,74,73,74,57.142860412597656,4.545454502105713,65,0,25,0,28.571430206298828,0,47.619049072265625,0,36.842105865478516,0,30.000001907348633,0,38.095237731933594,0,65.9064712524414,68719476736,1073741824,29109415936,49020928
205,1729785013738,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,79,76,76,74,74,73,74,42.85714340209961,0,36.3636360168457,0,19.047618865966797,0,14.285715103149414,0,52.38095474243164,0,40.90909194946289,0,52.38095474243164,0,35,0,65.9064712524414,68719476736,1073741824,29112188928,49020928
209,1729785013944,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,79,76,76,74,74,73,74,52.38095474243164,0,15.000000953674316,0,19.047618865966797,4.761904716491699,14.285715103149414,0,38.095237731933594,0,61.904762268066406,0,47.619049072265625,0,25,0,65.9064712524414,68719476736,1073741824,29098422272,49020928
207,1729785014154,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,79,76,76,74,74,73,74,52.38095474243164,0,42.85714340209961,0,31.81818199157715,0,14.285715103149414,0,45,0,42.85714340209961,0,38.095237731933594,0,22.72727394104004,0,65.9064712524414,68719476736,1073741824,29105819648,49020928
