Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729747442329,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,61,61,60,60,62,60,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,37.97528839111328,68719476736,0,28953923584,0
208,1729747442330,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,61,61,60,60,62,60,0,0,0,0,0,0,0,0,100,0,50,0,50,0,0,0,37.97528839111328,68719476736,0,28956389376,0
205,1729747442538,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,68,97,71,69,69,65,35,0,14.285715103149414,0,9.523809432983398,0,4.761904716491699,0,28.571430206298828,0,28.571430206298828,0,95,0,23.809524536132813,0,37.97528839111328,68719476736,0,28970344448,0
200,1729747442744,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,68,97,71,69,69,65,33.333335876464844,0,80.95238494873047,0,4.761904716491699,4.545454502105713,0,0,23.809524536132813,0,30.000001907348633,0,28.571430206298828,0,9.523809432983398,0,37.63823318481445,68719476736,0,28970323968,0
209,1729747442946,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,68,97,71,69,69,65,9.523809432983398,0,100,0,0,0,0,0,0,0,9.523809432983398,0,0,0,0,0,37.63823318481445,68719476736,0,28970323968,0
204,1729747443155,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,68,97,71,69,69,65,15.000000953674316,0,86.36363983154297,0,0,0,0,0,4.761904716491699,0,0,0,9.523809432983398,0,0,0,37.63823318481445,68719476736,0,28969750528,0
199,1729747443360,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,68,97,71,69,69,65,5,0,90,0,4.545454502105713,0,0,0,14.285715103149414,4.761904716491699,0,0,0,0,0,0,37.63823318481445,68719476736,0,28969758720,0
199,1729747443560,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,68,67,67,68,66,75,66,80.95238494873047,0,0,0,31.57894515991211,0,0,0,5.263157844543457,0,9.523809432983398,0,4.761904716491699,0,25,0,37.63823318481445,68719476736,0,28968267776,0
209,1729747443761,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,68,67,67,68,66,75,66,42.105262756347656,0,25,0,0,0,0,0,20,0,5,0,45,0,5,0,48.26805877685547,68719476736,0,28971118592,0
200,1729747443970,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,84,68,67,67,68,66,75,66,9.090909004211426,0,4.545454502105713,0,0,0,8.69565200805664,0,0,0,4.761904716491699,0,0,0,100,0,48.26805877685547,68719476736,0,28971118592,0
