Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729786588695,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,70,67,66,65,68,65,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,43.490840911865234,68719476736,1073741824,29242085376,49020928
209,1729786588696,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,70,67,66,65,68,65,NaN,0,50,0,0,0,50,0,0,0,0,0,0,0,100,0,43.490840911865234,68719476736,1073741824,29243793408,49020928
207,1729786588905,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,70,67,66,65,68,65,36.3636360168457,0,25,0,9.523809432983398,0,4.761904716491699,0,35,0,23.809524536132813,0,27.272727966308594,0,9.523809432983398,0,43.490840911865234,68719476736,1073741824,29243793408,49020928
207,1729786589113,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,70,67,66,65,68,65,35,0,23.809524536132813,0,5,0,15.000000953674316,0,38.095237731933594,4.761904716491699,19.047618865966797,0,28.571430206298828,0,19.047618865966797,0,43.490840911865234,68719476736,1073741824,29243793408,49020928
204,1729786589321,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,70,67,66,65,68,65,38.095237731933594,0,20,0,20,0,19.047618865966797,0,28.571430206298828,0,28.571430206298828,0,30.000001907348633,0,20,0,43.490840911865234,68719476736,1073741824,29243793408,49020928
205,1729786589526,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,68,69,80,69,68,71,68,38.095237731933594,0,23.809524536132813,0,23.809524536132813,0,14.285715103149414,0,20,0,20,0,38.095237731933594,0,19.047618865966797,0,43.490840911865234,68719476736,1073741824,29244973056,49020928
207,1729786589732,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,68,69,80,69,68,71,68,52.38095474243164,0,9.523809432983398,0,14.285715103149414,0,5,0,23.809524536132813,0,25,0,10.526315689086914,0,20,0,48.07758331298828,68719476736,1073741824,29244952576,49020928
204,1729786589940,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,68,69,80,69,68,71,68,45,0,15.000000953674316,0,9.523809432983398,0,20,0,28.571430206298828,0,23.809524536132813,0,31.81818199157715,0,30.000001907348633,4.761904716491699,48.07758331298828,68719476736,1073741824,29246177280,49020928
207,1729786590145,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,68,69,80,69,68,71,68,45,0,14.285715103149414,0,15.000000953674316,0,9.523809432983398,0,33.333335876464844,0,25,0,38.095237731933594,0,31.81818199157715,0,48.07758331298828,68719476736,1073741824,29246177280,49020928
205,1729786590353,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,68,69,80,69,68,71,68,36.3636360168457,0,30.000001907348633,0,10,0,15.000000953674316,0,28.571430206298828,0,25,0,38.095237731933594,0,20,0,48.07758331298828,68719476736,1073741824,29246177280,49020928
209,1729786590559,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,69,69,71,70,68,68,73,31.57894515991211,0,14.285715103149414,0,19.047618865966797,0,27.272727966308594,0,20,0,27.272727966308594,0,25,0,23.809524536132813,0,64.80773162841797,68719476736,1073741824,29248102400,49020928
207,1729786590769,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,69,69,71,70,68,68,73,42.85714340209961,0,10,0,27.272727966308594,0,14.285715103149414,0,20,0,25,0,20,0,14.285715103149414,0,64.80773162841797,68719476736,1073741824,29247238144,49020928
207,1729786590977,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,69,69,71,70,68,68,73,38.095237731933594,0,14.285715103149414,0,10,0,15.000000953674316,0,23.809524536132813,0,23.809524536132813,0,27.272727966308594,0,25,0,64.80773162841797,68719476736,1073741824,29247295488,49020928
206,1729786591185,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,69,69,71,70,68,68,73,40,0,10,0,10,0,10,0,28.571430206298828,0,28.571430206298828,0,35,0,20,0,64.80773162841797,68719476736,1073741824,29247356928,49020928
208,1729786591392,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,69,69,71,70,68,68,73,33.333335876464844,0,27.272727966308594,0,22.72727394104004,0,18.18181800842285,0,40,0,30.000001907348633,0,25,0,22.72727394104004,0,64.80773162841797,68719476736,1073741824,29247406080,49020928
209,1729786591601,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,73,72,71,70,69,82,68,54.54545593261719,0,4.761904716491699,0,23.809524536132813,0,10,0,33.333335876464844,0,19.047618865966797,0,18.18181800842285,0,14.285715103149414,0,73.4708251953125,68719476736,1073741824,29247070208,49020928
206,1729786591810,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,73,72,71,70,69,82,68,35,0,5,0,20,0,4.761904716491699,0,28.571430206298828,0,27.272727966308594,0,30.000001907348633,0,25,0,73.4708251953125,68719476736,1073741824,29247107072,49020928
207,1729786592017,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,73,72,71,70,69,82,68,30.000001907348633,0,13.636363983154297,0,18.18181800842285,4.545454502105713,20,0,30.000001907348633,0,21.052631378173828,0,38.095237731933594,0,9.523809432983398,0,73.4708251953125,68719476736,1073741824,29247184896,49020928
207,1729786592225,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,73,72,71,70,69,82,68,36.3636360168457,0,10.526315689086914,0,15.789472579956055,0,18.18181800842285,0,28.571430206298828,0,23.809524536132813,0,33.333335876464844,0,33.333335876464844,0,73.4708251953125,68719476736,1073741824,29247098880,49020928
204,1729786592433,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,69,71,74,68,69,68,35,0,13.636363983154297,0,14.285715103149414,0,10,0,47.619049072265625,0,28.571430206298828,0,28.571430206298828,0,20,0,73.4708251953125,68719476736,1073741824,29246689280,49020928
