Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729742473003,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,58,58,58,57,55,57,56,50,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,35.1848258972168,68719476736,0,30338879488,0
203,1729742473003,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,58,58,58,57,55,57,56,100,0,0,0,0,0,0,0,50,0,NaN,0,50,0,0,0,35.1848258972168,68719476736,0,30341967872,0
203,1729742473207,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,58,58,58,57,55,57,56,55,0,14.285715103149414,0,45,0,10.526315689086914,0,33.333335876464844,0,20,0,66.66667175292969,0,9.523809432983398,0,35.1848258972168,68719476736,0,30368501760,0
200,1729742473412,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,58,58,58,57,55,57,56,50,0,14.285715103149414,0,4.761904716491699,0,100,0,33.333335876464844,0,19.047618865966797,0,20,0,20,0,35.1848258972168,68719476736,0,30407507968,0
207,1729742473612,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,62,62,64,62,64,82,26.3157901763916,0,0,0,0,0,100,0,15.789472579956055,0,20,0,0,0,0,0,35.1848258972168,68719476736,0,30439563264,0
208,1729742473820,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,62,62,64,62,64,82,71.42857360839844,0,0,0,4.545454502105713,0,38.095237731933594,0,19.047618865966797,0,9.523809432983398,0,4.761904716491699,0,9.523809432983398,0,40.16191101074219,68719476736,0,30469902336,0
203,1729742474029,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,62,62,64,62,64,82,19.047618865966797,0,9.523809432983398,0,4.761904716491699,0,5,0,20,0,14.285715103149414,0,9.090909004211426,0,95.23809814453125,0,40.16191101074219,68719476736,0,30496722944,0
209,1729742474234,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,62,62,64,62,64,82,33.333335876464844,0,10,0,0,0,10,0,19.047618865966797,0,90,0,10,0,5,0,40.16191101074219,68719476736,0,30496722944,0
204,1729742474443,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,61,62,62,64,62,64,82,20,0,5,0,0,0,0,0,4.761904716491699,0,100,0,9.523809432983398,0,9.523809432983398,0,40.16191101074219,68719476736,0,30496722944,0
208,1729742474649,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,61,84,65,62,63,62,61,23.809524536132813,0,9.090909004211426,0,0,0,4.545454502105713,0,15.000000953674316,0,40,0,60.000003814697266,0,4.761904716491699,0,40.16191101074219,68719476736,0,30496722944,0
204,1729742474857,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,61,84,65,62,63,62,61,50,0,4.545454502105713,0,0,0,0,0,14.285715103149414,0,14.285715103149414,0,71.42857360839844,0,0,0,60.41509246826172,68719476736,0,30534725632,0
205,1729742475063,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,61,84,65,62,63,62,61,86.36363983154297,0,5.263157844543457,0,4.761904716491699,0,0,0,20,0,25,0,23.809524536132813,0,20,0,60.41509246826172,68719476736,0,30547464192,0
200,1729742475268,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,61,84,65,62,63,62,61,15.000000953674316,0,38.095237731933594,0,40,0,4.761904716491699,0,14.285715103149414,0,14.285715103149414,4.545454502105713,5.263157844543457,0,19.047618865966797,0,60.41509246826172,68719476736,0,30578921472,0
208,1729742475470,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,61,84,65,62,63,62,61,21.052631378173828,0,100,0,10,0,5,0,10,0,14.285715103149414,0,0,0,0,0,60.41509246826172,68719476736,0,30599106560,0
202,1729742475679,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,62,65,63,65,75,63,65,22.72727394104004,0,100,0,0,0,0,0,14.285715103149414,0,10,0,8.69565200805664,0,0,0,69.446533203125,68719476736,0,30588473344,0
208,1729742475882,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,62,65,63,65,75,63,65,78.94737243652344,50,100,55,70,57.894737243652344,70,52.38095474243164,75,55,75,55,68.42105102539063,52.38095474243164,76.19047546386719,57.142860412597656,69.446533203125,68719476736,0,30595559424,0
10,1729742476091,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,62,65,63,65,75,63,65,52.38095474243164,13.636363983154297,31.81818199157715,9.523809432983398,31.81818199157715,14.285715103149414,33.333335876464844,10,47.619049072265625,9.523809432983398,38.095237731933594,14.285715103149414,50,5.263157844543457,38.095237731933594,9.523809432983398,69.446533203125,68719476736,0,30345158656,0
