Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729742938263,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,63,62,61,60,59,60,59,50,0,0,0,0,0,0,0,33.333335876464844,0,0,0,0,0,0,0,35.381465911865234,68719476736,0,30519885824,0
203,1729742938264,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,63,62,61,60,59,60,59,100,0,50,0,0,0,0,0,100,0,0,0,50,0,0,0,35.381465911865234,68719476736,0,30523097088,0
207,1729742938468,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,63,62,61,60,59,60,59,42.85714340209961,0,15.789472579956055,0,10,0,0,0,85,0,38.095237731933594,0,47.619049072265625,0,19.047618865966797,0,35.381465911865234,68719476736,0,30548791296,0
204,1729742938675,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,71,73,75,68,85,72,67,35,0,100,0,14.285715103149414,0,0,0,27.272727966308594,0,40,0,25,0,15.000000953674316,0,35.381465911865234,68719476736,0,30589685760,0
207,1729742938880,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,71,73,75,68,85,72,67,28.571430206298828,0,100,0,0,0,0,0,10,0,9.523809432983398,0,14.285715103149414,0,0,0,36.740848541259766,68719476736,0,30589685760,0
203,1729742939088,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,71,73,75,68,85,72,67,30.000001907348633,0,50,0,14.285715103149414,0,14.285715103149414,0,35,0,19.047618865966797,0,35,4.545454502105713,22.72727394104004,0,36.740848541259766,68719476736,0,30654087168,0
209,1729742939292,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,71,73,75,68,85,72,67,38.095237731933594,0,15.789472579956055,0,25,0,4.761904716491699,0,19.047618865966797,0,15.789472579956055,0,9.523809432983398,0,57.142860412597656,0,36.740848541259766,68719476736,0,30682808320,0
204,1729742939502,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,71,73,75,68,85,72,67,23.809524536132813,0,27.272727966308594,0,76.19047546386719,0,0,0,19.047618865966797,0,13.636363983154297,0,10,0,10,0,36.740848541259766,68719476736,0,30698520576,0
207,1729742939707,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,66,69,67,69,86,77,68,23.809524536132813,0,100,0,14.285715103149414,0,0,0,5,0,5,0,9.523809432983398,0,5,0,54.68111801147461,68719476736,0,30708101120,0
202,1729742939915,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,66,69,67,69,86,77,68,33.333335876464844,0,14.285715103149414,0,0,0,5,0,19.047618865966797,0,85.71428680419922,0,4.761904716491699,0,13.636363983154297,0,54.68111801147461,68719476736,0,30719451136,0
