Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729744291206,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,60,60,60,59,60,58,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,33.58755111694336,68719476736,0,29134712832,0
208,1729744291206,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,60,60,60,59,60,58,50,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,33.58755111694336,68719476736,0,29134712832,0
207,1729744291415,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,61,61,60,60,60,59,60,58,38.095237731933594,0,23.809524536132813,0,4.761904716491699,4.545454502105713,50,0,25,0,47.619049072265625,0,14.285715103149414,0,13.636363983154297,0,33.58755111694336,68719476736,0,29134712832,0
203,1729744291622,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,64,65,65,68,65,68,94,22.72727394104004,0,4.761904716491699,0,9.523809432983398,0,100,0,27.272727966308594,0,10.526315689086914,0,14.285715103149414,0,10,0,33.58755111694336,68719476736,0,29134712832,0
205,1729744291827,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,64,65,65,68,65,68,94,5.263157844543457,0,15.000000953674316,0,0,0,40,0,15.000000953674316,0,4.761904716491699,0,10,0,47.619049072265625,0,35.06397247314453,68719476736,0,29134712832,0
208,1729744292032,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,64,65,65,68,65,68,94,60.000003814697266,0,0,0,0,0,0,0,5,0,9.523809432983398,0,4.761904716491699,0,40,0,35.06397247314453,68719476736,0,29266157568,0
199,1729744292242,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,64,65,65,68,65,68,94,13.636363983154297,0,50,0,0,0,0,0,4.761904716491699,0,0,0,0,0,52.38095474243164,0,35.06397247314453,68719476736,0,29286162432,0
202,1729744292442,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,64,65,65,68,65,68,94,0,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,100,0,4.761904716491699,0,0,0,35.06397247314453,68719476736,0,29293162496,0
206,1729744292645,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,63,65,63,75,64,65,63,9.523809432983398,0,0,0,10,0,0,0,0,0,9.090909004211426,0,10,0,75,0,35.06397247314453,68719476736,0,29299974144,0
203,1729744292852,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,63,65,63,75,64,65,63,28.571430206298828,0,28.571430206298828,0,4.545454502105713,0,0,0,52.38095474243164,0,0,0,0,0,9.090909004211426,0,53.909080505371094,68719476736,0,29304926208,0
208,1729744293056,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,63,65,63,75,64,65,63,21.052631378173828,0,85,0,0,0,0,0,5,0,0,0,5,0,0,0,53.909080505371094,68719476736,0,29312417792,0
207,1729744293265,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,63,65,63,75,64,65,63,9.090909004211426,0,0,0,0,0,77.2727279663086,0,0,0,13.636363983154297,0,14.285715103149414,0,5,0,53.909080505371094,68719476736,0,29319278592,0
203,1729744293473,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,64,63,65,63,75,64,65,63,9.523809432983398,0,0,0,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,53.909080505371094,68719476736,0,29339000832,0
207,1729744293677,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,65,67,66,69,68,71,87,5,0,0,0,4.545454502105713,0,100,0,4.761904716491699,0,4.761904716491699,0,0,0,0,4.545454502105713,53.909080505371094,68719476736,0,29357809664,0
207,1729744293885,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,65,67,66,69,68,71,87,5,0,0,0,0,0,100,0,0,0,0,0,4.761904716491699,0,0,0,65.10025024414063,68719476736,0,29339971584,0
15,1729744294094,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,65,67,66,69,68,71,87,9.523809432983398,0,0,0,0,0,50,0,9.523809432983398,0,4.761904716491699,0,0,0,4.761904716491699,0,65.10025024414063,68719476736,0,29139140608,0
