Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729744917864,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,62,62,62,61,66.66667175292969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.419036865234375,68719476736,0,29229953024,0
204,1729744917865,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,62,62,62,61,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.419036865234375,68719476736,0,29232963584,0
202,1729744918069,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,62,62,62,61,38.095237731933594,0,10,0,5,0,0,0,95,0,13.636363983154297,0,25,0,33.333335876464844,4.545454502105713,33.419036865234375,68719476736,0,29258895360,0
204,1729744918272,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,62,62,62,61,21.052631378173828,0,5,0,80,0,4.761904716491699,0,23.809524536132813,0,15.789472579956055,0,33.333335876464844,0,26.3157901763916,0,33.419036865234375,68719476736,0,29298143232,0
199,1729744918477,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,63,65,63,62,62,62,61,9.523809432983398,0,0,0,100,0,0,0,0,0,0,0,0,0,4.761904716491699,0,33.419036865234375,68719476736,0,29327618048,0
204,1729744918677,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,65,82,66,64,64,66,64,45,0,0,0,30.000001907348633,0,0,0,0,0,33.333335876464844,0,0,0,4.761904716491699,0,33.419036865234375,68719476736,0,29348835328,0
202,1729744918882,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,65,82,66,64,64,66,64,5,0,0,0,100,0,0,0,14.285715103149414,0,4.761904716491699,0,0,0,0,0,39.05521011352539,68719476736,0,29368414208,0
203,1729744919084,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,65,82,66,64,64,66,64,19.047618865966797,0,0,0,61.904762268066406,0,25,0,10,0,0,0,0,0,0,0,39.05521011352539,68719476736,0,29375311872,0
199,1729744919288,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,65,82,66,64,64,66,64,5.263157844543457,0,0,0,25,0,75,0,5,0,4.761904716491699,0,0,0,0,0,39.05521011352539,68719476736,0,29380800512,0
200,1729744919488,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,65,82,66,64,64,66,64,9.523809432983398,0,0,0,10,0,0,0,5,0,80.95238494873047,0,0,0,0,0,39.05521011352539,68719476736,0,29387059200,0
