Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729748857128,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,67,68,66,65,67,64,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,48.992305755615234,68719476736,0,31025057792,0
206,1729748857129,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,67,68,66,65,67,64,NaN,0,0,0,0,0,50,0,100,0,50,0,100,0,50,0,48.992305755615234,68719476736,0,31027662848,0
207,1729748857336,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,67,67,68,66,65,67,64,42.85714340209961,0,40,0,20,0,31.57894515991211,0,35,0,35,0,23.809524536132813,0,28.571430206298828,0,48.992305755615234,68719476736,0,31110955008,0
208,1729748857543,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,78,70,71,69,68,68,67,52.38095474243164,4.545454502105713,35,0,15.000000953674316,0,28.571430206298828,0,52.38095474243164,0,47.619049072265625,0,42.85714340209961,0,30.000001907348633,0,48.992305755615234,68719476736,0,31288639488,0
206,1729748857752,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,78,70,71,69,68,68,67,33.333335876464844,0,40.90909194946289,0,9.090909004211426,0,4.761904716491699,0,28.571430206298828,0,20,0,20,0,20,0,51.28327941894531,68719476736,0,31482343424,0
208,1729748857959,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,78,70,71,69,68,68,67,45,4.761904716491699,19.047618865966797,0,20,0,19.047618865966797,9.090909004211426,42.85714340209961,0,42.85714340209961,0,28.571430206298828,0,36.3636360168457,0,51.28327941894531,68719476736,0,31482343424,0
200,1729748858168,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,78,70,71,69,68,68,67,50,0,5,0,18.18181800842285,0,4.761904716491699,0,38.095237731933594,0,33.333335876464844,0,33.333335876464844,0,20,0,51.28327941894531,68719476736,0,31482343424,0
208,1729748858369,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,78,70,71,69,68,68,67,38.88888931274414,0,20,4.545454502105713,0,4.761904716491699,5,0,40,0,30.000001907348633,0,25,0,20,0,51.28327941894531,68719476736,0,31871815680,0
206,1729748858579,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,69,69,70,78,68,68,66,50,0,9.090909004211426,0,18.18181800842285,0,5,0,28.571430206298828,0,19.047618865966797,0,19.047618865966797,0,38.095237731933594,0,51.28327941894531,68719476736,0,32001896448,0
207,1729748858785,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,69,69,70,78,68,68,66,57.142860412597656,0,0,0,0,0,4.545454502105713,0,40,0,25,0,25,0,19.047618865966797,0,65.06413269042969,68719476736,0,32120627200,0
