Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729730709039,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,100,0,100,0,100,0,0,0,100,33.333335876464844,66.66667175292969,0,50,0,50,0,43.86959457397461,68719476736,0,37363904512,0
200,1729730709039,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,66.66667175292969,0,100,0,0,0,100,0,0,0,NaN,0,100,0,0,0,43.86959457397461,68719476736,0,37367156736,0
199,1729730709239,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,50,0,47.619049072265625,0,57.142860412597656,0,42.85714340209961,0,45,4.761904716491699,28.571430206298828,0,33.333335876464844,0,35,0,43.86959457397461,68719476736,0,37421658112,0
199,1729730709440,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,57.894737243652344,0,28.571430206298828,0,60.000003814697266,0,45,0,42.85714340209961,0,25,0,42.105262756347656,0,47.619049072265625,0,43.86959457397461,68719476736,0,37421658112,0
202,1729730709640,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,35,0,26.3157901763916,0,19.047618865966797,0,38.88888931274414,0,26.3157901763916,0,26.3157901763916,0,35,0,21.052631378173828,0,43.86959457397461,68719476736,0,37421658112,0
202,1729730709843,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,69,75,68,66,65,65,64,42.85714340209961,0,30.000001907348633,0,20,0,19.047618865966797,0,28.571430206298828,0,38.095237731933594,4.761904716491699,35,0,20,0,43.86959457397461,68719476736,0,37520400384,0
202,1729730710046,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,67,71,70,70,71,73,66,36.842105865478516,0,45,0,30.000001907348633,0,4.761904716491699,0,35,0,38.095237731933594,0,23.809524536132813,0,28.571430206298828,0,49.190826416015625,68719476736,0,37553180672,0
202,1729730710249,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,67,71,70,70,71,73,66,35,0,23.809524536132813,0,40,0,40,0,36.842105865478516,0,15.789472579956055,0,20,0,25,0,49.190826416015625,68719476736,0,37573971968,0
199,1729730710453,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,67,71,70,70,71,73,66,50,0,23.809524536132813,0,30.000001907348633,0,25,0,23.809524536132813,0,23.809524536132813,4.761904716491699,38.095237731933594,0,23.809524536132813,0,49.190826416015625,68719476736,0,37582692352,0
204,1729730710653,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,67,71,70,70,71,73,66,47.36842346191406,0,40,0,10,0,20,0,20,0,30.000001907348633,0,31.57894515991211,5,40,0,49.190826416015625,68719476736,0,37592719360,0
202,1729730710857,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,68,68,74,66,66,66,42.85714340209961,0,20,4.761904716491699,33.333335876464844,0,28.571430206298828,0,28.571430206298828,0,45,0,25,0,25,4.761904716491699,49.190826416015625,68719476736,0,37606666240,0
200,1729730711060,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,68,68,74,66,66,66,35,0,30.000001907348633,0,31.57894515991211,0,26.3157901763916,0,30.000001907348633,0,35,0,23.809524536132813,0,23.809524536132813,0,77.33495330810547,68719476736,0,37618368512,0
204,1729730711261,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,68,68,74,66,66,66,42.105262756347656,0,45,0,28.571430206298828,0,25,0,20,0,33.333335876464844,0,25,0,15.789472579956055,0,77.33495330810547,68719476736,0,37647130624,0
201,1729730711466,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,68,68,74,66,66,66,33.333335876464844,0,33.333335876464844,0,38.095237731933594,0,27.272727966308594,0,25,0,30.000001907348633,4.761904716491699,15.000000953674316,0,33.333335876464844,0,77.33495330810547,68719476736,0,37676191744,0
203,1729730711667,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,68,68,74,66,66,66,80,71.42857360839844,80,70,73.68421173095703,71.42857360839844,73.68421173095703,75,80,70,80,70,85.71428680419922,70,90,70,77.33495330810547,68719476736,0,37723041792,0
201,1729730711871,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,69,68,68,68,69,73,67,57.142860412597656,25,60.000003814697266,26.3157901763916,47.619049072265625,28.571430206298828,38.095237731933594,28.571430206298828,57.142860412597656,28.571430206298828,50,28.571430206298828,40,28.571430206298828,38.095237731933594,25,77.33495330810547,68719476736,0,37750136832,0
200,1729730712073,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,69,68,68,68,69,73,67,95.23809814453125,90,90,86.36363983154297,95,90,100,90,90.47618865966797,90,95.23809814453125,89.47368621826172,90,90,94.73684692382813,90,83.13216400146484,68719476736,0,37480202240,0
