Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729709005547,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,64,61,60,59,60,59,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,38.79958724975586,68719476736,0,36967124992,0
199,1729709005547,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,64,61,60,59,60,59,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,38.79958724975586,68719476736,0,36967124992,0
200,1729709005747,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,64,61,60,59,60,59,60.000003814697266,0,0,0,0,0,0,0,15.000000953674316,0,10,0,10,0,0,0,38.79958724975586,68719476736,0,36967124992,0
203,1729709005948,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,64,61,60,59,60,59,70,0,15.789472579956055,0,18.18181800842285,4.761904716491699,15.000000953674316,0,55,0,55,0,35,0,25,0,38.79958724975586,68719476736,0,36967124992,0
204,1729709006152,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,64,65,65,64,63,62,63.15789031982422,0,19.047618865966797,0,5.263157844543457,0,9.523809432983398,0,36.842105865478516,0,20,0,25,0,20,0,38.79958724975586,68719476736,0,36967124992,0
201,1729709006357,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,64,65,65,64,63,62,31.81818199157715,0,52.38095474243164,0,0,0,0,0,9.523809432983398,0,13.636363983154297,0,15.000000953674316,0,10,0,41.541378021240234,68719476736,0,37013417984,0
201,1729709006559,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,64,65,65,64,63,62,80,0,0,0,0,0,0,0,10,0,0,0,4.761904716491699,0,0,0,41.541378021240234,68719476736,0,37027635200,0
200,1729709006761,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,64,65,65,64,63,62,65,0,0,0,5,0,0,0,14.285715103149414,0,5,0,5,0,13.636363983154297,0,41.541378021240234,68719476736,0,37037137920,0
203,1729709006962,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,64,65,65,64,63,62,57.894737243652344,0,0,0,0,0,0,0,25,0,5.263157844543457,0,4.761904716491699,0,5,0,41.541378021240234,68719476736,0,37048311808,0
202,1729709007165,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,61,61,61,60,60,60,60,65,0,4.761904716491699,0,4.761904716491699,0,0,0,20,0,13.636363983154297,0,5.263157844543457,0,0,0,41.541378021240234,68719476736,0,37059035136,0
200,1729709007368,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,61,61,61,60,60,60,60,80.95238494873047,0,0,0,0,0,0,0,5,0,5,0,9.523809432983398,0,0,0,56.315521240234375,68719476736,0,37067960320,0
199,1729709007569,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,61,61,61,60,60,60,60,28.571430206298828,0,15.000000953674316,0,0,0,35,0,30.000001907348633,0,10,0,0,0,0,0,56.315521240234375,68719476736,0,37070135296,0
199,1729709007769,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,61,61,61,60,60,60,60,47.36842346191406,0,5,0,0,0,47.619049072265625,0,5,0,0,0,0,0,0,0,56.315521240234375,68719476736,0,37077073920,0
201,1729709007969,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,65,61,61,61,60,60,60,60,80.95238494873047,0,0,0,0,0,0,0,25,0,10,0,10,0,0,0,56.315521240234375,68719476736,0,37077073920,0
204,1729709008171,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,64,64,63,62,62,61,61,63.15789031982422,0,0,0,0,0,0,0,20,0,19.047618865966797,4.761904716491699,13.636363983154297,0,9.523809432983398,0,56.315521240234375,68719476736,0,37077073920,0
199,1729709008376,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,64,64,63,62,62,61,61,57.142860412597656,0,9.523809432983398,0,0,0,0,0,19.047618865966797,0,0,0,0,0,0,0,57.52429962158203,68719476736,0,37090172928,0
