Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729705713712,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,62,62,62,61,63,63,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.27569580078125,68719476736,0,37146718208,0
200,1729705713713,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,62,62,62,61,63,63,100,0,NaN,0,0,0,0,0,66.66667175292969,0,50,0,0,0,0,0,41.27569580078125,68719476736,0,37146718208,0
202,1729705713914,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,72,70,69,69,67,68,69,50,0,23.809524536132813,0,15.000000953674316,0,19.047618865966797,0,36.842105865478516,0,30.000001907348633,0,30.000001907348633,0,15.000000953674316,0,41.27569580078125,68719476736,0,37146718208,0
203,1729705714116,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,72,70,69,69,67,68,69,45,0,28.571430206298828,0,23.809524536132813,0,20,0,42.85714340209961,0,35,0,33.333335876464844,0,25,0,41.157196044921875,68719476736,0,37146718208,0
202,1729705714320,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,72,70,69,69,67,68,69,31.57894515991211,0,10,0,10,0,10,0,30.000001907348633,0,25,0,40,0,35,0,41.157196044921875,68719476736,0,37146718208,0
204,1729705714523,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,72,70,69,69,67,68,69,57.142860412597656,0,10,0,0,0,9.523809432983398,0,15.000000953674316,4.761904716491699,10,0,9.523809432983398,0,14.285715103149414,0,41.157196044921875,68719476736,0,37284622336,0
200,1729705714728,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,72,70,69,69,67,68,69,35,0,4.761904716491699,0,5,0,5,0,28.571430206298828,0,25,0,11.111111640930176,0,5,0,41.157196044921875,68719476736,0,37312274432,0
204,1729705714929,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,75,68,68,67,67,67,69,35,0,21.052631378173828,0,4.761904716491699,0,10,0,35,0,14.285715103149414,0,28.571430206298828,0,9.523809432983398,0,41.157196044921875,68719476736,0,37328179200,0
204,1729705715133,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,75,68,68,67,67,67,69,23.809524536132813,0,14.285715103149414,0,10,0,15.000000953674316,0,28.571430206298828,0,15.000000953674316,0,15.000000953674316,0,25,0,52.45439147949219,68719476736,0,37337169920,0
201,1729705715338,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,75,68,68,67,67,67,69,23.809524536132813,0,5,0,4.761904716491699,0,9.090909004211426,4.761904716491699,21.052631378173828,0,40,0,38.095237731933594,0,20,0,52.45439147949219,68719476736,0,37353529344,0
200,1729705715540,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,75,68,68,67,67,67,69,20,0,30.000001907348633,0,15.000000953674316,0,0,0,28.571430206298828,0,38.095237731933594,0,14.285715103149414,0,14.285715103149414,0,52.45439147949219,68719476736,0,37361266688,0
204,1729705715741,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,75,68,68,67,67,67,69,25,0,5,0,10,0,20,0,20,0,35,4.761904716491699,10.526315689086914,0,0,0,52.45439147949219,68719476736,0,37368922112,0
200,1729705715946,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,77,72,68,67,68,67,30.000001907348633,0,9.523809432983398,0,0,0,9.523809432983398,0,26.3157901763916,0,14.285715103149414,0,28.571430206298828,0,5,0,52.45439147949219,68719476736,0,37372665856,0
199,1729705716147,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,77,72,68,67,68,67,35,0,20,0,5,0,0,0,14.285715103149414,0,15.789472579956055,0,15.000000953674316,0,33.333335876464844,0,70.72571563720703,68719476736,0,37414195200,0
200,1729705716347,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,77,72,68,67,68,67,15.000000953674316,0,5,0,40,0,0,0,38.095237731933594,0,14.285715103149414,0,10,0,5,0,70.72571563720703,68719476736,0,37445201920,0
199,1729705716548,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,77,72,68,67,68,67,30.000001907348633,0,10,0,15.000000953674316,0,14.285715103149414,0,15.789472579956055,0,31.57894515991211,0,5.263157844543457,0,5,0,70.72571563720703,68719476736,0,37473542144,0
199,1729705716749,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,77,72,68,67,68,67,50,0,9.523809432983398,0,10,0,10,0,31.57894515991211,0,15.000000953674316,0,9.523809432983398,0,5,0,70.72571563720703,68719476736,0,37507272704,0
203,1729705716949,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,71,69,69,75,68,19.047618865966797,0,15.789472579956055,0,19.047618865966797,0,10.526315689086914,0,28.571430206298828,0,20,0,21.052631378173828,0,5,0,70.72571563720703,68719476736,0,37479755776,0
14,1729705717153,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,71,69,69,75,68,20,0,4.761904716491699,0,0,0,0,0,20,0,15.000000953674316,0,9.090909004211426,0,0,0,74.15655517578125,68719476736,0,37159968768,0
