Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729707407150,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.48003387451172,68719476736,0,37704650752,0
203,1729707407151,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,NaN,0,50,0,0,0,0,0,50,0,66.66667175292969,0,100,0,0,0,43.48003387451172,68719476736,0,37704650752,0
202,1729707407355,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,50,0,35,0,14.285715103149414,0,10,0,40,4.761904716491699,26.3157901763916,0,30.000001907348633,0,20,0,43.48003387451172,68719476736,0,37704650752,0
199,1729707407558,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,42.85714340209961,0,23.809524536132813,0,15.789472579956055,0,20,0,45,0,35,4.761904716491699,35,0,26.3157901763916,0,43.48003387451172,68719476736,0,37704650752,0
204,1729707407758,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,36.842105865478516,0,0,0,14.285715103149414,0,4.761904716491699,0,33.333335876464844,0,33.333335876464844,0,14.285715103149414,0,20,0,43.48003387451172,68719476736,0,37704650752,0
201,1729707407963,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,64,63,63,62,62,61,40.90909194946289,0,9.523809432983398,0,5,0,15.000000953674316,0,30.000001907348633,0,26.3157901763916,0,19.047618865966797,9.090909004211426,9.523809432983398,0,43.48003387451172,68719476736,0,37812273152,0
200,1729707408165,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,70,75,68,66,65,65,65,36.842105865478516,0,10,0,5.263157844543457,0,10.526315689086914,0,20,0,38.095237731933594,0,15.000000953674316,0,19.047618865966797,0,55.897830963134766,68719476736,0,37831299072,0
200,1729707408365,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,70,75,68,66,65,65,65,45,0,10.526315689086914,0,9.523809432983398,0,5,0,36.842105865478516,0,25,0,20,0,10.526315689086914,0,55.897830963134766,68719476736,0,37831299072,0
204,1729707408566,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,70,75,68,66,65,65,65,40,0,9.523809432983398,0,15.000000953674316,0,10,0,28.571430206298828,0,25,0,25,0,10,0,55.897830963134766,68719476736,0,37831299072,0
204,1729707408771,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,70,75,68,66,65,65,65,33.333335876464844,0,20,4.761904716491699,5,0,9.523809432983398,0,25,0,20,0,20,0,23.809524536132813,0,55.897830963134766,68719476736,0,37831299072,0
