Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729767948529,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,61,62,62,60,62,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.101768493652344,68719476736,1073741824,26819436544,82575360
202,1729767948530,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,62,61,62,62,60,62,61,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,37.101768493652344,68719476736,1073741824,26819436544,82575360
202,1729767948733,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,73,74,68,68,88,67,68,19.047618865966797,0,84.21052551269531,0,4.761904716491699,0,0,0,30.000001907348633,0,38.095237731933594,0,25,0,20,0,37.101768493652344,68719476736,1073741824,26819436544,82575360
200,1729767948935,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,73,74,68,68,88,67,68,40,0,5,0,14.285715103149414,0,0,0,33.333335876464844,0,35,0,60.000003814697266,0,38.095237731933594,0,36.91437911987305,68719476736,1073741824,26819436544,82575360
203,1729767949136,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,73,74,68,68,88,67,68,47.36842346191406,0,4.761904716491699,0,31.57894515991211,0,9.090909004211426,0,20,0,10,0,23.809524536132813,0,0,0,36.91437911987305,68719476736,1073741824,26819436544,82575360
202,1729767949341,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,73,74,68,68,88,67,68,33.333335876464844,0,4.761904716491699,0,0,0,0,0,75,0,9.523809432983398,0,10,0,5,0,36.91437911987305,68719476736,1073741824,26948349952,82575360
201,1729767949543,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,73,74,68,68,88,67,68,60.000003814697266,0,0,0,0,0,0,0,47.619049072265625,0,20,0,0,0,23.809524536132813,0,36.91437911987305,68719476736,1073741824,26973310976,82575360
200,1729767949745,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,71,82,69,68,71,68,20,0,0,0,50,0,0,0,25,0,20,0,40,0,10,0,36.91437911987305,68719476736,1073741824,26988380160,82575360
202,1729767949946,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,71,82,69,68,71,68,42.85714340209961,0,0,0,10,0,0,0,25,0,15.000000953674316,0,23.809524536132813,0,60.000003814697266,0,46.365596771240234,68719476736,1073741824,26993524736,82575360
199,1729767950149,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,71,82,69,68,71,68,40,0,0,0,0,0,5,0,15.000000953674316,0,23.809524536132813,0,63.15789031982422,0,0,0,46.365596771240234,68719476736,1073741824,26993524736,82575360
202,1729767950349,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,71,82,69,68,71,68,5,0,0,0,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,46.365596771240234,68719476736,1073741824,27018620928,82575360
200,1729767950552,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,69,71,82,69,68,71,68,10,0,4.761904716491699,0,0,0,0,0,76.19047546386719,5,20,0,15.000000953674316,0,10,0,46.365596771240234,68719476736,1073741824,27032449024,82575360
204,1729767950752,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,91,69,70,70,68,70,67,20,0,0,0,0,0,0,0,57.894737243652344,0,14.285715103149414,0,0,0,35,0,46.365596771240234,68719476736,1073741824,27032449024,82575360
199,1729767950958,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,91,69,70,70,68,70,67,20,0,4.761904716491699,0,0,0,4.761904716491699,0,85.71428680419922,0,10,0,9.523809432983398,0,0,0,71.82710266113281,68719476736,1073741824,27032449024,82575360
199,1729767951158,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,91,69,70,70,68,70,67,20,0,10,0,0,0,5.263157844543457,0,45,0,63.15789031982422,0,0,0,4.761904716491699,0,71.82710266113281,68719476736,1073741824,27032449024,82575360
203,1729767951358,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,91,69,70,70,68,70,67,57.142860412597656,0,0,0,25,0,0,0,5,0,33.333335876464844,0,14.285715103149414,0,0,0,71.82710266113281,68719476736,1073741824,27342434304,82575360
202,1729767951562,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,91,69,70,70,68,70,67,42.105262756347656,0,0,0,0,0,0,0,33.333335876464844,0,25,0,30.000001907348633,0,0,0,71.82710266113281,68719476736,1073741824,27444563968,82575360
203,1729767951765,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,66,66,65,64,66,65,80.95238494873047,0,0,0,0,0,0,0,10,0,20,0,0,0,25,0,71.82710266113281,68719476736,1073741824,27292553216,82575360
201,1729767951969,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,66,66,65,64,66,65,5,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,100,0,67.64602661132813,68719476736,1073741824,27166822400,82575360
12,1729767952171,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,66,66,66,65,64,66,65,47.619049072265625,0,4.761904716491699,0,5,0,4.761904716491699,0,10,4.761904716491699,10,0,25,0,25,0,67.64602661132813,68719476736,1073741824,26824368128,82575360
