Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727470673598,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,75,74,80,72,72,72,77,50,0,0,0,0,0,0,0,50,0,50,0,0,0,50,0,70.81095123291016,68719476736,2147483648,32954261504,470810624
200,1727470673599,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,73,75,74,77,76,81,75,74,NaN,0,50,0,50,0,0,0,100,0,0,0,100,0,NaN,0,70.81095123291016,68719476736,2147483648,32954261504,470810624
200,1727470673799,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,77,80,77,76,81,75,74,85,31.57894515991211,89.47368621826172,4.761904716491699,70,9.523809432983398,85,15.000000953674316,75,30.000001907348633,85,10,75,20,80.95238494873047,15.789472579956055,70.81095123291016,68719476736,2147483648,32954261504,470810624
203,1727470674001,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,77,80,77,76,81,75,74,57.142860412597656,0,35,4.761904716491699,61.904762268066406,0,33.333335876464844,0,47.36842346191406,0,40,0,50,0,40,0,70.81095123291016,68719476736,2147483648,32954261504,470810624
200,1727470674204,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,77,80,77,76,81,75,74,50,0,57.142860412597656,0,15.000000953674316,0,85,0,33.333335876464844,0,40,0,25,0,30.000001907348633,0,70.81095123291016,68719476736,2147483648,33749168128,470810624
199,1727470674406,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,77,80,77,76,81,75,74,42.85714340209961,0,47.36842346191406,0,15.789472579956055,0,30.000001907348633,0,45,0,42.85714340209961,0,52.38095474243164,0,50,0,76.28876495361328,68719476736,2147483648,33786028032,470810624
201,1727470674606,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,73,74,79,77,81,80,79,50,0,20,0,60.000003814697266,0,78.94737243652344,0,30.000001907348633,0,21.052631378173828,0,31.57894515991211,0,28.571430206298828,0,76.28876495361328,68719476736,2147483648,33786028032,470810624
204,1727470674808,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,73,74,79,77,81,80,79,45,4.761904716491699,71.42857360839844,0,10,0,68.18181610107422,0,25,0,33.333335876464844,0,38.095237731933594,0,40,0,76.28876495361328,68719476736,2147483648,33786028032,470810624
202,1727470675013,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,73,74,79,77,81,80,79,45,0,35,0,45.45454788208008,0,70,0,25,0,42.85714340209961,0,45,0,28.571430206298828,0,76.28876495361328,68719476736,2147483648,33786028032,470810624
202,1727470675216,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,74,73,74,79,77,81,80,79,60.000003814697266,0,45,0,31.57894515991211,0,35,0,42.85714340209961,0,45,0,50,0,15.789472579956055,0,76.28876495361328,68719476736,2147483648,34202566656,470810624
