__run_id,__done,input_size,cache,sampling,execution_time,average_cpu_usage,memory_usage,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,1024,DFT,200,0.003865,31.19840354,31987.77994792,0.0,0.0,0.0,0.0
run_1_repetition_0,DONE,1024,DFT,1000,0.00401711,16.62902432,31989.40885417,0.0,0.0,0.0,0.0
run_2_repetition_0,DONE,1024,DFT_cache,200,0.00397086,30.52631601,31975.234375,0.0,0.0,0.0,0.0
run_3_repetition_0,DONE,1024,DFT_cache,1000,0.00381589,21.43750573,31973.94140625,0.0,0.0,0.0,0.0
run_4_repetition_0,DONE,1024,DFT_lru_cache,200,0.00443602,28.90899158,31970.95963542,0.0,0.0,0.0,0.0
run_5_repetition_0,DONE,1024,DFT_lru_cache,1000,0.00425506,21.80570142,31968.71875,0.0,0.0,0.0,0.0
run_6_repetition_0,DONE,4096,DFT,200,0.00381303,28.84785157,32032.43554688,0.0,0.0,0.0,0.0
run_7_repetition_0,DONE,4096,DFT,1000,0.00409913,25.77699043,31936.24739583,0.0,0.0,0.0,0.0
run_8_repetition_0,DONE,4096,DFT_cache,200,0.00437212,27.50337984,31979.29752604,0.0,0.0,0.0,0.0
run_9_repetition_0,DONE,4096,DFT_cache,1000,0.00451589,23.68098624,32210.62760417,0.0,0.0,0.0,0.0
run_10_repetition_0,DONE,4096,DFT_lru_cache,200,0.00556803,30.29963845,32399.55022321,0.0,0.0,0.0,0.0
run_11_repetition_0,DONE,4096,DFT_lru_cache,1000,0.00447631,22.35561465,32094.24088542,0.0,0.0,0.0,0.0
