Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729706462875,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,66,66,72,65,64,65,63,50,0,0,0,0,0,0,0,33.333335876464844,0,100,0,0,0,50,0,48.362308502197266,68719476736,0,37150613504,0
204,1729706462876,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,66,66,72,65,64,65,63,50,0,0,0,100,0,0,0,100,0,0,0,NaN,0,100,0,48.362308502197266,68719476736,0,37153746944,0
202,1729706463082,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,69,67,66,65,66,66,50,0,20,0,25,0,20,0,33.333335876464844,0,57.142860412597656,0,33.333335876464844,0,25,0,49.56180191040039,68719476736,0,37153746944,0
202,1729706463285,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,69,67,66,65,66,66,45,0,30.000001907348633,0,30.000001907348633,0,25,0,36.842105865478516,0,33.333335876464844,0,35,0,42.85714340209961,0,49.56180191040039,68719476736,0,37153746944,0
200,1729706463488,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,69,67,66,65,66,66,45,0,10,0,0,0,4.761904716491699,0,28.571430206298828,0,26.3157901763916,0,13.636363983154297,0,25,0,49.56180191040039,68719476736,0,37153746944,0
204,1729706463689,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,69,67,66,65,66,66,47.619049072265625,0,19.047618865966797,0,9.523809432983398,0,0,0,35,0,20,0,21.052631378173828,4.761904716491699,14.285715103149414,0,49.56180191040039,68719476736,0,37263060992,0
200,1729706463894,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,72,67,69,67,66,65,66,66,42.105262756347656,0,10,0,10,0,10,0,21.052631378173828,0,28.571430206298828,0,23.809524536132813,0,5.263157844543457,0,49.56180191040039,68719476736,0,37286694912,0
201,1729706464095,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,67,68,68,68,66,70,67,42.85714340209961,0,10,0,20,0,5.263157844543457,0,28.571430206298828,0,30.000001907348633,0,26.3157901763916,0,15.000000953674316,0,67.39176940917969,68719476736,0,37286694912,0
203,1729706464297,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,67,68,68,68,66,70,67,25,0,35,0,9.523809432983398,0,9.090909004211426,0,25,0,25,4.761904716491699,28.571430206298828,0,14.285715103149414,0,67.39176940917969,68719476736,0,37286694912,0
202,1729706464501,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,67,68,68,68,66,70,67,40,0,20,0,15.000000953674316,5,15.000000953674316,0,40,0,42.85714340209961,0,40,0,30.000001907348633,0,67.39176940917969,68719476736,0,37286694912,0
202,1729706464704,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,67,68,68,68,66,70,67,52.38095474243164,0,25,0,15.789472579956055,0,20,0,47.619049072265625,0,42.105262756347656,0,36.842105865478516,0,25,0,67.39176940917969,68719476736,0,37350027264,0
199,1729706464908,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,67,68,68,68,66,70,67,30.000001907348633,0,19.047618865966797,0,9.523809432983398,4.545454502105713,15.000000953674316,0,45,0,28.571430206298828,0,28.571430206298828,0,19.047618865966797,0,67.39176940917969,68719476736,0,37358784512,0
199,1729706465108,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,71,77,71,71,70,70,31.57894515991211,0,20,0,21.052631378173828,0,14.285715103149414,0,25,0,30.000001907348633,0,30.000001907348633,0,5.263157844543457,0,70.58331298828125,68719476736,0,37367017472,0
199,1729706465308,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,71,77,71,71,70,70,42.105262756347656,0,47.36842346191406,0,30.000001907348633,0,33.333335876464844,0,36.842105865478516,0,40,0,35,0,33.333335876464844,4.761904716491699,70.58331298828125,68719476736,0,37367017472,0
199,1729706465508,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,71,77,71,71,70,70,33.333335876464844,0,42.85714340209961,4.761904716491699,35,0,14.285715103149414,0,47.36842346191406,0,40,0,35,0,36.842105865478516,4.761904716491699,70.58331298828125,68719476736,0,37367017472,0
199,1729706465708,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,71,77,71,71,70,70,89.47368621826172,75,90,73.68421173095703,90.47618865966797,73.68421173095703,95,76.19047546386719,90.47618865966797,72.7272720336914,88.8888931274414,75,85,75,94.73684692382813,73.68421173095703,70.58331298828125,68719476736,0,37392027648,0
202,1729706465908,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,78,72,71,77,71,71,70,70,76.19047546386719,45,75,50,95,45,85,45,70,47.36842346191406,77.2727279663086,45,80,47.619049072265625,80.95238494873047,47.36842346191406,70.58331298828125,68719476736,0,37402509312,0
204,1729706466111,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,78,81,81,81,80,83,79,95,95,100,95,95,95.23809814453125,95,95.23809814453125,100,95,95,95.23809814453125,100,100,100,95.23809814453125,94.00727844238281,68719476736,0,37402460160,0
11,1729706466316,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,80,78,81,81,81,80,83,79,47.619049072265625,0,30.000001907348633,4.545454502105713,45,0,30.000001907348633,0,38.095237731933594,0,40,0,50,0,28.571430206298828,0,94.00727844238281,68719476736,0,37402460160,0
