Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729726799894,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,100,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,41.76060485839844,68719476736,0,35782008832,0
202,1729726799895,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,50,0,0,0,0,0,0,0,0,0,100,0,NaN,0,0,0,41.76060485839844,68719476736,0,35783688192,0
203,1729726800098,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,45,0,42.85714340209961,0,35,0,5,0,40,0,30.000001907348633,0,28.571430206298828,4.761904716491699,10,4.761904716491699,40.71952438354492,68719476736,0,35798888448,0
203,1729726800302,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,65,9.523809432983398,38.88888931274414,9.523809432983398,75,0,57.142860412597656,5,52.38095474243164,4.761904716491699,47.619049072265625,9.523809432983398,52.38095474243164,5,50,0,40.71952438354492,68719476736,0,35800731648,0
203,1729726800506,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,47.619049072265625,0,33.333335876464844,0,19.047618865966797,0,19.047618865966797,0,23.809524536132813,0,40,0,26.3157901763916,0,23.809524536132813,0,40.71952438354492,68719476736,0,35800731648,0
203,1729726800710,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,63,63,62,62,61,62,61,42.85714340209961,0,19.047618865966797,0,20,4.761904716491699,5.263157844543457,4.761904716491699,21.052631378173828,0,25,0,38.095237731933594,0,20,0,40.71952438354492,68719476736,0,35847065600,0
204,1729726800913,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,67,69,66,66,65,65,64,35,0,20,0,5,0,14.285715103149414,0,20,0,38.095237731933594,0,28.571430206298828,0,14.285715103149414,0,40.71952438354492,68719476736,0,35847065600,0
202,1729726801118,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,67,69,66,66,65,65,64,36.842105865478516,0,25,0,15.000000953674316,0,23.809524536132813,0,33.333335876464844,0,38.095237731933594,0,23.809524536132813,0,36.842105865478516,0,46.067264556884766,68719476736,0,35847065600,0
199,1729726801321,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,67,69,66,66,65,65,64,42.85714340209961,0,14.285715103149414,0,14.285715103149414,0,5.263157844543457,0,25,0,35,0,15.789472579956055,0,25,0,46.067264556884766,68719476736,0,35847065600,0
202,1729726801521,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,67,67,69,66,66,65,65,64,35,0,23.809524536132813,0,10.526315689086914,0,14.285715103149414,0,20,0,26.3157901763916,0,25,0,28.571430206298828,0,46.067264556884766,68719476736,0,35847065600,0
